N 	a0 	a1 	a2 	a3 	a4 	a5 	a6 	a7 	phi_1 	phi_2 	phi_3 	phi_4 	phi_5 	phi_6 	phi_7 	SigmaF
1 	-0.002 	0.367 	0.119 	0.042 	0.008 	0.019 	0.014 	0.011 	1.382 	1.734 	2.923 	-3.029 	2.088 	2.537 	2.960 	0.07
2 	-0.001 	0.450 	0.119 	0.058 	0.025 	0.020 	0.018 	0.005 	1.325 	1.954 	2.831 	-2.976 	2.638 	2.960 	-2.407 	0.05
3 	0.001 	0.458 	0.121 	0.047 	0.018 	0.016 	0.001 	0.007 	1.313 	2.269 	2.813 	2.750 	-2.949 	-2.027 	2.853 	0.05
4 	0.000 	0.423 	0.099 	0.064 	0.016 	0.001 	0.008 	0.005 	1.230 	2.410 	-2.945 	-3.124 	0.201 	2.615 	-2.382 	0.04
5 	0.003 	0.423 	0.099 	0.064 	0.016 	0.001 	0.008 	0.005 	1.230 	2.410 	-2.945 	-3.124 	0.201 	2.615 	-2.382 	0.05
6 	0.004 	0.488 	0.078 	0.024 	0.017 	0.016 	0.004 	0.005 	1.375 	2.994 	2.442 	2.527 	2.639 	1.917 	3.100 	0.04
7 	0.002 	0.483 	0.054 	0.035 	0.018 	0.016 	0.012 	0.006 	1.409 	2.536 	2.890 	-3.028 	-2.626 	-1.715 	0.689 	0.04
8 	0.005 	0.481 	0.066 	0.031 	0.009 	0.006 	0.008 	0.002 	1.386 	2.687 	2.997 	2.973 	-2.037 	-1.625 	0.457 	0.03
9 	-0.001 	0.473 	0.076 	0.032 	0.021 	0.014 	0.010 	0.011 	1.382 	2.370 	3.052 	-2.547 	-2.207 	-1.495 	-0.092 	0.03
10 	-0.001 	0.460 	0.098 	0.039 	0.021 	0.010 	0.010 	0.003 	1.311 	2.403 	-3.088 	-2.344 	-1.865 	-0.718 	0.999 	0.03
