ID long b ID_2 long_2 b_2 m_sep
b299_102_76628 350.131311 -2.079374 b299_102_76628 350.131311 -2.079374 0.0
b299_102_16699 350.10569399999997 -1.9381869999999999 b299_102_16699 350.10569399999997 -1.9381869999999999 0.0
b299_104_41588 350.06888 -2.554848 b299_104_41588 350.06888 -2.554848 0.0
b299_104_28075 350.035497 -2.5197119999999997 b299_104_28075 350.035497 -2.5197119999999997 0.0
b299_104_4419 350.029784 -2.460397 b299_104_4419 350.029784 -2.460397 0.0
b299_104_4419 350.029784 -2.460397 b299_304_77146 350.029768 -2.460397 0.05754690050650237
b299_104_6894 350.171782 -2.467139 b299_104_6894 350.171782 -2.467139 0.0
b299_106_83095 350.41285600000015 -2.079791 b299_106_83095 350.41285600000015 -2.079791 0.0
b299_108_66227 350.404808 -2.603695 b299_108_66227 350.404808 -2.603695 0.0
b299_108_13515 350.511837 -2.48125 b299_108_13515 350.511837 -2.48125 0.0
b299_108_44108 350.514718 -2.5522869999999998 b299_108_44108 350.514718 -2.5522869999999998 0.0
b299_108_81760 350.51687599999997 -2.6412720000000003 b299_108_81760 350.51687599999997 -2.6412720000000003 0.0
b299_110_75342 350.880853 -2.065851 b299_110_75342 350.880853 -2.065851 0.0
b299_110_65616 350.803533 -2.043 b299_110_65616 350.803533 -2.043 0.0
b299_110_67756 350.762016 -2.0479830000000003 b299_110_67756 350.762016 -2.0479830000000003 0.0
b299_112_9488 350.754886 -2.470997 b299_112_9488 350.754886 -2.470997 0.0
b299_112_3700 350.812167 -2.4582450000000002 b299_112_3700 350.812167 -2.4582450000000002 0.0
b299_114_23968 351.279453 -1.9511759999999998 b299_114_23968 351.279453 -1.9511759999999998 0.0
b299_116_49020 351.290234 -2.559607 b299_116_49020 351.290234 -2.559607 0.0
b299_116_49020 351.290234 -2.559607 b299_616_48822 351.290231 -2.5596099999999997 0.015265889171599873
b299_116_9013 351.154678 -2.469287 b299_116_9013 351.154678 -2.469287 0.0
b299_116_1563 351.300592 -2.451319 b299_116_1563 351.300592 -2.451319 0.0
b299_116_1563 351.300592 -2.451319 b299_416_80880 351.300591 -2.451323 0.014842381612054286
b299_116_1563 351.300592 -2.451319 b299_616_1338 351.300583 -2.451332 0.05690412672846556
b299_201_16439 350.171737 -1.5732760000000001 b299_201_16439 350.171737 -1.5732760000000001 0.0
b299_201_70656 350.033243 -1.705816 b299_201_70656 350.033243 -1.705816 0.0
b299_201_33289 350.051544 -1.616506 b299_201_33289 350.051544 -1.616506 0.0
b299_201_77768 350.066465 -1.7222709999999999 b299_201_77768 350.066465 -1.7222709999999999 0.0
b299_203_16302 350.09880400000014 -2.1211450000000003 b299_203_16302 350.09880400000014 -2.1211450000000003 0.0
b299_203_12964 350.190313 -2.113258 b299_203_12964 350.190313 -2.113258 0.0
b299_203_12964 350.190313 -2.113258 b299_503_13097 350.190312 -2.113249 0.03259911620632593
b299_205_34753 350.38833700000015 -1.604347 b299_205_34753 350.38833700000015 -1.604347 0.0
b299_205_70218 350.429543 -1.680233 b299_205_70218 350.429543 -1.680233 0.0
b299_205_9403 350.453155 -1.550745 b299_205_9403 350.453155 -1.550745 0.0
b299_205_7689 350.384301 -1.547483 b299_205_7689 350.384301 -1.547483 0.0
b299_205_84471 350.543161 -1.7106 b299_205_84471 350.543161 -1.7106 0.0
b299_207_8129 350.452564 -2.100421 b299_207_8129 350.452564 -2.100421 0.0
b299_207_17055 350.53449900000015 -2.120298 b299_207_17055 350.53449900000015 -2.120298 0.0
b299_207_25002 350.379442 -2.137845 b299_207_25002 350.379442 -2.137845 0.0
b299_207_7281 350.550337 -2.098475 b299_207_7281 350.550337 -2.098475 0.0
b299_209_59570 350.878642 -1.6553669999999998 b299_209_59570 350.878642 -1.6553669999999998 0.0
b299_209_25137 350.83915 -1.582965 b299_209_25137 350.83915 -1.582965 0.0
b299_211_42072 350.831725 -2.17314 b299_211_42072 350.831725 -2.17314 0.0
b299_211_76404 350.90637200000015 -2.249212 b299_211_76404 350.90637200000015 -2.249212 0.0
b299_211_76687 350.889693 -2.249879 b299_211_76687 350.889693 -2.249879 0.0
b299_213_37766 351.288091 -1.624223 b299_213_37766 351.288091 -1.624223 0.0
b299_213_37766 351.288091 -1.624223 b299_513_36841 351.288098 -1.624223 0.02518987511179581
b299_213_15858 351.149381 -1.5702040000000002 b299_213_15858 351.149381 -1.5702040000000002 0.0
b299_213_75449 351.142114 -1.717354 b299_213_75449 351.142114 -1.717354 0.0
b299_215_56121 351.150933 -2.2066169999999996 b299_215_56121 351.150933 -2.2066169999999996 0.0
b299_215_66007 351.26345200000014 -2.2280740000000003 b299_215_66007 351.26345200000014 -2.2280740000000003 0.0
b299_215_7752 351.25876600000015 -2.09853 b299_215_7752 351.25876600000015 -2.09853 0.0
b299_215_56871 351.14698500000014 -2.208291 b299_215_56871 351.14698500000014 -2.208291 0.0
b299_302_42207 350.059579 -1.8091080000000002 b299_302_42207 350.059579 -1.8091080000000002 0.0
b299_302_71700 350.148821 -1.874709 b299_302_71700 350.148821 -1.874709 0.0
b299_302_28296 350.07342400000016 -1.7783 b299_302_28296 350.07342400000016 -1.7783 0.0
b299_302_7096 350.139391 -1.7310020000000002 b299_302_7096 350.139391 -1.7310020000000002 0.0
b299_302_18746 350.050044 -1.7574509999999999 b299_302_18746 350.050044 -1.7574509999999999 0.0
b299_304_16027 350.129613 -2.305273 b299_304_16027 350.129613 -2.305273 0.0
b299_304_77146 350.029768 -2.460397 b299_104_4419 350.029784 -2.460397 0.05754690050650237
b299_304_77146 350.029768 -2.460397 b299_304_77146 350.029768 -2.460397 0.0
b299_304_7248 350.179101 -2.283922 b299_304_7248 350.179101 -2.283922 0.0
b299_306_71444 350.400336 -1.8648639999999999 b299_306_71444 350.400336 -1.8648639999999999 0.0
b299_306_75053 350.387248 -1.8726189999999998 b299_306_75053 350.387248 -1.8726189999999998 0.0
b299_308_50339 350.38356600000014 -2.37889 b299_308_50339 350.38356600000014 -2.37889 0.0
b299_308_19151 350.442267 -2.309344 b299_308_19151 350.442267 -2.309344 0.0
b299_308_58936 350.47811 -2.398803 b299_308_58936 350.47811 -2.398803 0.0
b299_308_79115 350.370161 -2.4459880000000003 b299_308_79115 350.370161 -2.4459880000000003 0.0
b299_310_66025 350.788857 -1.8587599999999997 b299_310_66025 350.788857 -1.8587599999999997 0.0
b299_310_25503 350.80251200000015 -1.7690830000000002 b299_310_25503 350.80251200000015 -1.7690830000000002 0.0
b299_310_23377 350.862101 -1.764446 b299_310_23377 350.862101 -1.764446 0.0
b299_312_67053 350.7606 -2.413571 b299_312_67053 350.7606 -2.413571 0.0
b299_312_85778 350.779933 -2.455054 b299_312_85778 350.779933 -2.455054 0.0
b299_312_14674 350.85087400000015 -2.298163 b299_312_14674 350.85087400000015 -2.298163 0.0
b299_312_45732 350.932128 -2.365513 b299_312_45732 350.932128 -2.365513 0.0
b299_312_45732 350.932128 -2.365513 b299_412_44793 350.932119 -2.365509 0.03543065993815083
b299_314_82235 351.236695 -1.901541 b299_314_82235 351.236695 -1.901541 0.0
b299_314_49316 351.225871 -1.8265080000000002 b299_314_49316 351.225871 -1.8265080000000002 0.0
b299_314_50225 351.256991 -1.828525 b299_314_50225 351.256991 -1.828525 0.0
b299_314_8557 351.158275 -1.733714 b299_314_8557 351.158275 -1.733714 0.0
b299_314_29465 351.18352799999997 -1.7819630000000002 b299_314_29465 351.18352799999997 -1.7819630000000002 0.0
b299_314_57832 351.112244 -1.846273 b299_314_57832 351.112244 -1.846273 0.0
b299_316_57280 351.237644 -2.394011 b299_316_57280 351.237644 -2.394011 0.0
b299_402_67792 350.23312999999996 -1.8714330000000001 b299_402_67792 350.23312999999996 -1.8714330000000001 0.0
b299_402_46289 350.256816 -1.8222 b299_402_46289 350.256816 -1.8222 0.0
b299_404_75574 350.367277 -2.455594 b299_404_75574 350.367277 -2.455594 0.0
b299_404_75574 350.367277 -2.455594 b299_604_2340 350.36728 -2.455581 0.04802776160184311
b299_406_33796 350.5843 -1.785048 b299_406_33796 350.5843 -1.785048 0.0
b299_406_9577 350.60404900000015 -1.7344650000000001 b299_406_9577 350.60404900000015 -1.7344650000000001 0.0
b299_406_92454 350.620198 -1.9096369999999998 b299_406_92454 350.620198 -1.9096369999999998 0.0
b299_406_92454 350.620198 -1.9096369999999998 b299_606_5780 350.62018900000015 -1.909621 0.06607839496489769
b299_406_55982 350.688176 -1.831335 b299_406_55982 350.688176 -1.831335 0.0
b299_410_75475 350.936931 -1.883806 b299_410_75475 350.936931 -1.883806 0.0
b299_410_68898 351.09702599999997 -1.869039 b299_410_68898 351.09702599999997 -1.869039 0.0
b299_410_3963 350.94406299999997 -1.72291 b299_410_3963 350.94406299999997 -1.72291 0.0
b299_410_73310 350.98488199999997 -1.878945 b299_410_73310 350.98488199999997 -1.878945 0.0
b299_410_24626 351.104222 -1.7697759999999998 b299_410_24626 351.104222 -1.7697759999999998 0.0
b299_412_44793 350.932119 -2.365509 b299_312_45732 350.932128 -2.365513 0.0354306599377774
b299_412_44793 350.932119 -2.365509 b299_412_44793 350.932119 -2.365509 0.0
b299_414_58778 351.31355299999996 -1.8435599999999999 b299_414_58778 351.31355299999996 -1.8435599999999999 0.0
b299_414_2575 351.317036 -1.719744 b299_414_2575 351.317036 -1.719744 0.0
b299_414_2575 351.317036 -1.719744 b299_513_77813 351.317031 -1.719741 0.02098447500015313
b299_414_63123 351.451999 -1.8530369999999998 b299_414_63123 351.451999 -1.8530369999999998 0.0
b299_414_18429 351.453679 -1.7543970000000002 b299_414_18429 351.453679 -1.7543970000000002 0.0
b299_414_88197 351.414826 -1.909816 b299_414_88197 351.414826 -1.909816 0.0
b299_414_88197 351.414826 -1.909816 b299_614_5670 351.41481699999997 -1.9098099999999998 0.03892498036574326
b299_414_48199 351.399542 -1.820126 b299_414_48199 351.399542 -1.820126 0.0
b299_414_79186 351.29766800000016 -1.8895099999999998 b299_414_79186 351.29766800000016 -1.8895099999999998 0.0
b299_416_80880 351.300591 -2.451323 b299_116_1563 351.300592 -2.451319 0.014842381611881972
b299_416_80880 351.300591 -2.451323 b299_416_80880 351.300591 -2.451323 0.0
b299_416_80880 351.300591 -2.451323 b299_616_1338 351.300583 -2.451332 0.043332235981505846
b299_416_32993 351.419562 -2.3397330000000003 b299_416_32993 351.419562 -2.3397330000000003 0.0
b299_416_50791 351.398974 -2.380313 b299_416_50791 351.398974 -2.380313 0.0
b299_501_4715 350.365481 -1.543862 b299_501_4715 350.365481 -1.543862 0.0
b299_501_78177 350.34091 -1.7254619999999998 b299_501_78177 350.34091 -1.7254619999999998 0.0
b299_501_87 350.28662099999997 -1.532291 b299_501_87 350.28662099999997 -1.532291 0.0
b299_503_30938 350.259233 -2.154931 b299_503_30938 350.259233 -2.154931 0.0
